ID1,名前1,名前2,HP1,HP2,HP合計,余り
0,しゅじんこう,クミン,90,27,117,5
0,しゅじんこう,カシュー,90,39,129,1
0,しゅじんこう,ビシソワーズ,90,27,117,5
0,しゅじんこう,キッシュ,90,26,116,4
0,しゅじんこう,シェーブル,90,27,117,5
0,しゅじんこう,アルファルファ,90,38,128,0
0,しゅじんこう,デュオニソス,90,54,144,0
0,しゅじんこう,キャンディー,90,26,116,4
0,しゅじんこう,エピィ,90,57,147,3
0,しゅじんこう,アポロン,90,74,164,4
0,しゅじんこう,ヘスティア,90,25,115,3
0,しゅじんこう,レモン,90,27,117,5
0,しゅじんこう,ブカティーニ,90,42,132,4
0,しゅじんこう,カシス,90,73,163,3
0,しゅじんこう,チキータ,90,74,164,4
0,しゅじんこう,ランプータン,90,27,117,5
0,しゅじんこう,マスカット,90,27,117,5
0,しゅじんこう,ブリオッシュ,90,60,150,6
0,しゅじんこう,ブレッツェル,90,71,161,1
0,しゅじんこう,ショコラ,90,56,146,2
0,しゅじんこう,キャロット,90,60,150,6
0,しゅじんこう,コンポート,90,55,145,1
0,しゅじんこう,グリッシーニ,90,74,164,4
0,しゅじんこう,リディア,90,72,162,2
0,しゅじんこう,カイン,90,74,164,4
0,しゅじんこう,グレイ,90,73,163,3
0,しゅじんこう,レオンハルト,90,71,161,1
0,しゅじんこう,ハバティー,90,54,144,0
0,しゅじんこう,ブリー,90,29,119,7
0,しゅじんこう,マルガリータ,90,72,162,2
0,しゅじんこう,マラスキーノ,90,74,164,4
0,しゅじんこう,バランタイン,90,70,160,0
0,しゅじんこう,カミュ,90,73,163,3
0,しゅじんこう,クイーン,90,70,160,0
0,しゅじんこう,にせヒーロー,90,90,180,4
0,しゅじんこう,ココット,90,24,114,2
1,キャラウェイ,しゅじんこう,40,90,130,2
1,キャラウェイ,クミン,40,27,67,3
1,キャラウェイ,ガルバンゾー,40,30,70,6
1,キャラウェイ,ビシソワーズ,40,27,67,3
1,キャラウェイ,キッシュ,40,26,66,2
1,キャラウェイ,シェーブル,40,27,67,3
1,キャラウェイ,リーキ,40,30,70,6
1,キャラウェイ,キャンディー,40,26,66,2
1,キャラウェイ,ピオーネ,40,46,86,6
1,キャラウェイ,エシャロット,40,46,86,6
1,キャラウェイ,エピィ,40,57,97,1
1,キャラウェイ,アポロン,40,74,114,2
1,キャラウェイ,ヘスティア,40,25,65,1
1,キャラウェイ,レモン,40,27,67,3
1,キャラウェイ,ブカティーニ,40,42,82,2
1,キャラウェイ,カシス,40,73,113,1
1,キャラウェイ,チキータ,40,74,114,2
1,キャラウェイ,ランプータン,40,27,67,3
1,キャラウェイ,マスカット,40,27,67,3
1,キャラウェイ,ブリオッシュ,40,60,100,4
1,キャラウェイ,マフィン,40,15,55,7
1,キャラウェイ,ショコラ,40,56,96,0
1,キャラウェイ,シフォン,40,62,102,6
1,キャラウェイ,キャロット,40,60,100,4
1,キャラウェイ,グリッシーニ,40,74,114,2
1,キャラウェイ,リディア,40,72,112,0
1,キャラウェイ,カイン,40,74,114,2
1,キャラウェイ,グレイ,40,73,113,1
1,キャラウェイ,ブリー,40,29,69,5
1,キャラウェイ,マルガリータ,40,72,112,0
1,キャラウェイ,マラスキーノ,40,74,114,2
1,キャラウェイ,カミュ,40,73,113,1
